"dataset","loci_name","alphabet","n_taxa","n_bp","pass_phi","pass_maxchi","pass_geneconv_inner","pass_geneconv_outer","pass_geneconv"
"1KP","4471","protein",978,493,TRUE,TRUE,NA,NA,NA
"1KP","4519","protein",663,817,TRUE,TRUE,NA,NA,NA
"1KP","4527","protein",1022,444,TRUE,TRUE,NA,NA,NA
"1KP","4603","protein",882,836,TRUE,TRUE,NA,NA,NA
"1KP","4691","protein",1092,233,TRUE,TRUE,NA,NA,NA
"1KP","4724","protein",1060,279,TRUE,TRUE,NA,NA,NA
"1KP","4744","protein",934,547,TRUE,TRUE,NA,NA,NA
"1KP","4757","protein",1094,239,TRUE,TRUE,NA,NA,NA
"1KP","4793","protein",872,907,TRUE,TRUE,NA,NA,NA
"1KP","4796","protein",1035,382,TRUE,TRUE,NA,NA,NA
"1KP","4802","protein",1105,356,TRUE,TRUE,NA,NA,NA
"1KP","4806","protein",941,225,TRUE,TRUE,NA,NA,NA
"1KP","4815","protein",771,289,TRUE,TRUE,NA,NA,NA
"1KP","4848","protein",891,785,TRUE,TRUE,NA,NA,NA
"1KP","4889","protein",965,332,TRUE,TRUE,NA,NA,NA
"1KP","4890","protein",963,202,TRUE,TRUE,NA,NA,NA
"1KP","4893","protein",1102,349,TRUE,TRUE,NA,NA,NA
"1KP","4904","protein",965,474,TRUE,TRUE,NA,NA,NA
"1KP","4932","protein",943,346,TRUE,TRUE,NA,NA,NA
"1KP","4936","protein",836,661,TRUE,TRUE,NA,NA,NA
"1KP","4942","protein",1071,320,TRUE,TRUE,NA,NA,NA
"1KP","4950","protein",805,329,TRUE,TRUE,NA,NA,NA
"1KP","4951","protein",1091,379,TRUE,TRUE,NA,NA,NA
"1KP","4954","protein",1056,505,TRUE,TRUE,NA,NA,NA
"1KP","4976","protein",633,480,TRUE,TRUE,NA,NA,NA
"1KP","4989","protein",1060,367,TRUE,TRUE,NA,NA,NA
"1KP","4992","protein",784,1131,TRUE,TRUE,NA,NA,NA
"1KP","5018","protein",1127,431,TRUE,TRUE,NA,NA,NA
"1KP","5032","protein",970,579,TRUE,TRUE,NA,NA,NA
"1KP","5034","protein",1074,329,TRUE,TRUE,NA,NA,NA
"1KP","5038","protein",896,458,TRUE,TRUE,NA,NA,NA
"1KP","5064","protein",225,109,NA,TRUE,TRUE,TRUE,TRUE
"1KP","5090","protein",1016,201,NA,TRUE,NA,NA,NA
"1KP","5104","protein",1000,183,NA,TRUE,NA,NA,NA
"1KP","5111","protein",884,601,TRUE,TRUE,NA,NA,NA
"1KP","5123","protein",961,403,TRUE,TRUE,NA,NA,NA
"1KP","5131","protein",1005,395,TRUE,TRUE,NA,NA,NA
"1KP","5138","protein",1093,354,TRUE,TRUE,NA,NA,NA
"1KP","5162","protein",912,535,TRUE,TRUE,NA,NA,NA
"1KP","5163","protein",1046,573,TRUE,TRUE,NA,NA,NA
"1KP","5168","protein",1045,291,TRUE,TRUE,NA,NA,NA
"1KP","5177","protein",1003,347,TRUE,TRUE,NA,NA,NA
"1KP","5188","protein",898,390,TRUE,TRUE,NA,NA,NA
"1KP","5200","protein",1089,316,TRUE,TRUE,NA,NA,NA
"1KP","5206","protein",1024,236,TRUE,TRUE,NA,NA,NA
"1KP","5209","protein",834,634,TRUE,TRUE,NA,NA,NA
"1KP","5220","protein",981,212,TRUE,TRUE,NA,NA,NA
"1KP","5257","protein",1112,384,TRUE,TRUE,NA,NA,NA
"1KP","5260","protein",1012,208,TRUE,TRUE,NA,NA,NA
"1KP","5264","protein",1007,605,TRUE,TRUE,NA,NA,NA
"1KP","5271","protein",1090,268,TRUE,TRUE,NA,NA,NA
"1KP","5273","protein",886,622,TRUE,TRUE,NA,NA,NA
"1KP","5280","protein",783,437,TRUE,TRUE,NA,NA,NA
"1KP","5296","protein",1124,412,TRUE,TRUE,NA,NA,NA
"1KP","5299","protein",936,402,TRUE,TRUE,NA,NA,NA
"1KP","5304","protein",1065,208,TRUE,TRUE,NA,NA,NA
"1KP","5318","protein",1044,241,TRUE,TRUE,NA,NA,NA
"1KP","5326","protein",969,548,TRUE,TRUE,NA,NA,NA
"1KP","5328","protein",877,342,TRUE,TRUE,NA,NA,NA
"1KP","5333","protein",519,1258,TRUE,TRUE,NA,NA,NA
"1KP","5335","protein",1097,452,TRUE,TRUE,NA,NA,NA
"1KP","5339","protein",965,637,TRUE,TRUE,NA,NA,NA
"1KP","5343","protein",1063,274,TRUE,TRUE,NA,NA,NA
"1KP","5347","protein",959,183,NA,TRUE,NA,NA,NA
"1KP","5348","protein",822,227,TRUE,TRUE,NA,NA,NA
"1KP","5351","protein",949,272,TRUE,TRUE,NA,NA,NA
"1KP","5353","protein",669,620,TRUE,TRUE,NA,NA,NA
"1KP","5354","protein",981,311,TRUE,TRUE,NA,NA,NA
"1KP","5355","protein",888,390,TRUE,TRUE,NA,NA,NA
"1KP","5357","protein",954,142,NA,TRUE,NA,NA,NA
"1KP","5366","protein",1020,450,TRUE,TRUE,NA,NA,NA
"1KP","5398","protein",912,669,TRUE,TRUE,NA,NA,NA
"1KP","5404","protein",583,522,TRUE,TRUE,NA,NA,NA
"1KP","5406","protein",779,763,TRUE,TRUE,NA,NA,NA
"1KP","5421","protein",1087,489,TRUE,TRUE,NA,NA,NA
"1KP","5426","protein",749,858,TRUE,TRUE,NA,NA,NA
"1KP","5427","protein",941,472,TRUE,TRUE,NA,NA,NA
"1KP","5428","protein",942,305,TRUE,TRUE,NA,NA,NA
"1KP","5430","protein",1069,337,TRUE,TRUE,NA,NA,NA
"1KP","5434","protein",1110,354,TRUE,TRUE,NA,NA,NA
"1KP","5449","protein",906,441,TRUE,TRUE,NA,NA,NA
"1KP","5454","protein",951,511,TRUE,TRUE,NA,NA,NA
"1KP","5460","protein",743,225,TRUE,TRUE,NA,NA,NA
"1KP","5463","protein",1021,241,TRUE,TRUE,NA,NA,NA
"1KP","5464","protein",1060,378,TRUE,TRUE,NA,NA,NA
"1KP","5469","protein",893,259,TRUE,TRUE,NA,NA,NA
"1KP","5477","protein",1021,249,TRUE,TRUE,NA,NA,NA
"1KP","5489","protein",1049,526,TRUE,TRUE,NA,NA,NA
"1KP","5502","protein",963,414,TRUE,TRUE,NA,NA,NA
"1KP","5513","protein",866,327,TRUE,TRUE,NA,NA,NA
"1KP","5528","protein",860,769,TRUE,TRUE,NA,NA,NA
"1KP","5531","protein",1007,199,NA,TRUE,TRUE,TRUE,TRUE
"1KP","5536","protein",1001,241,TRUE,TRUE,NA,NA,NA
"1KP","5551","protein",1081,363,TRUE,TRUE,NA,NA,NA
"1KP","5554","protein",977,514,TRUE,TRUE,NA,NA,NA
"1KP","5562","protein",962,136,NA,TRUE,NA,NA,NA
"1KP","5578","protein",290,93,NA,NA,TRUE,TRUE,TRUE
"1KP","5594","protein",998,314,TRUE,TRUE,NA,NA,NA
"1KP","5596","protein",599,1593,TRUE,TRUE,NA,NA,NA
"1KP","5599","protein",1033,708,TRUE,TRUE,NA,NA,NA
"1KP","5614","protein",771,1160,TRUE,TRUE,NA,NA,NA
"1KP","5620","protein",938,466,TRUE,TRUE,NA,NA,NA
"1KP","5634","protein",1012,477,TRUE,TRUE,NA,NA,NA
"1KP","5639","protein",1041,384,TRUE,TRUE,NA,NA,NA
"1KP","5642","protein",559,237,TRUE,TRUE,NA,NA,NA
"1KP","5644","protein",888,454,TRUE,TRUE,NA,NA,NA
"1KP","5656","protein",694,371,TRUE,TRUE,NA,NA,NA
"1KP","5660","protein",760,325,TRUE,TRUE,NA,NA,NA
"1KP","5664","protein",1018,373,TRUE,TRUE,NA,NA,NA
"1KP","5670","protein",821,563,TRUE,TRUE,NA,NA,NA
"1KP","5699","protein",889,390,TRUE,TRUE,NA,NA,NA
"1KP","5702","protein",1103,350,TRUE,TRUE,NA,NA,NA
"1KP","5703","protein",897,651,TRUE,TRUE,NA,NA,NA
"1KP","5716","protein",666,1048,TRUE,TRUE,NA,NA,NA
"1KP","5721","protein",991,340,TRUE,TRUE,NA,NA,NA
"1KP","5733","protein",872,326,TRUE,TRUE,NA,NA,NA
"1KP","5744","protein",934,187,NA,NA,TRUE,TRUE,TRUE
"1KP","5753","protein",735,664,TRUE,TRUE,NA,NA,NA
"1KP","5761","protein",750,461,TRUE,TRUE,NA,NA,NA
"1KP","5770","protein",1108,491,TRUE,TRUE,NA,NA,NA
"1KP","5772","protein",889,309,TRUE,TRUE,NA,NA,NA
"1KP","5791","protein",1073,257,TRUE,TRUE,NA,NA,NA
"1KP","5802","protein",696,364,TRUE,TRUE,NA,NA,NA
"1KP","5812","protein",816,592,TRUE,TRUE,NA,NA,NA
"1KP","5815","protein",1077,253,TRUE,TRUE,NA,NA,NA
"1KP","5816","protein",1002,660,TRUE,TRUE,NA,NA,NA
"1KP","5818","protein",796,338,TRUE,TRUE,NA,NA,NA
"1KP","5821","protein",1064,278,TRUE,TRUE,NA,NA,NA
"1KP","5822","protein",888,314,TRUE,TRUE,NA,NA,NA
"1KP","5840","protein",1082,402,TRUE,TRUE,NA,NA,NA
